Filename,Symmetric Similarity,Cloud Size
hallway-T125,0.884898610332596,699822
hallway-T126,0.885286830190976,704835
hallway-T127,0.885343522469149,708726
hallway-T128,0.884882537650982,712161
hallway-T129,0.884861596537007,717447
hallway-T130,0.884716752704406,724965
hallway-T131,0.885258677443085,732873
hallway-T132,0.884782470641285,738207
hallway-T133,0.884423077344802,741657
hallway-T134,0.884630173864321,749604
hallway-T135,0.884935707929649,757833
hallway-T136,0.885054144795701,762492
hallway-T137,0.884715829401104,767739
hallway-T138,0.884997267813742,773601
hallway-T139,0.88503747099234,779703
hallway-T140,0.884917254025191,785886
hallway-T141,0.885355055097499,789534
hallway-T142,0.885133154102754,795027
hallway-T143,0.884587991253865,798534
hallway-T144,0.885434274434999,805695
hallway-T145,0.88517621406117,813138
hallway-T146,0.88537676944719,815556
hallway-T147,0.884903898028773,821283
hallway-T148,0.884825541725817,824988
hallway-T149,0.885581027576764,830592
hallway-T150,0.885386650354804,837690
hallway-T151,0.885185206634695,841986
hallway-T152,0.885516513813518,847089
hallway-T153,0.884997464076802,852129
hallway-T154,0.885045783764602,858699
hallway-T155,0.884896453419051,865581
hallway-T156,0.884755215873707,875055
hallway-T157,0.884857406352631,883110
hallway-T158,0.884685574620558,890790
hallway-T159,0.884502673531339,894879
hallway-T160,0.883839748131834,888336
hallway-T161,0.884128297111931,889185
hallway-T162,0.883700436756013,890604
hallway-T163,0.883752521173085,892380
hallway-T164,0.883122262053185,892788
hallway-T165,0.883616479405908,896679
hallway-T166,0.883278637209668,904530
hallway-T167,0.88353827452565,908724
hallway-T168,0.883693867993224,911340
