enc_file_size_bits,time_enc_ns,time_dec_ns,file,bpp,num_points
3415056,261386516,63750672,T130-944607.ply,3.615319386792603,944607
3429760,260185883,161749865,T131-948705.ply,3.615201775051254,948705
3446432,193168407,40842424,T132-953214.ply,3.615591042515112,953214
3466248,364688032,171647011,T133-959028.ply,3.614334513695116,959028
3498736,152331093,38508292,T134-967848.ply,3.61496433324241,967848
3536928,235786553,138044641,T135-978174.ply,3.615847487256868,978174
3552376,146758647,38423899,T136-982014.ply,3.6174392625767045,982014
3577024,430028702,39235113,T137-988440.ply,3.6188579984622233,988440
3600704,178544572,155802411,T138-995679.ply,3.616330162632736,995679
3621472,234172667,160770766,T139-1001412.ply,3.6163656916433995,1001412
3634360,201978435,133261657,T140-1005978.ply,3.612762903363692,1005978
3654432,259632688,153187851,T141-1012098.ply,3.6107491567022167,1012098
3679680,176648331,136740750,T142-1019193.ply,3.610385864110134,1019193
3698080,297207169,40034925,T143-1026543.ply,3.6024599066965535,1026543
3716768,127947872,63804759,T144-1032018.ply,3.601456563742105,1032018
3732344,144473044,132393175,T145-1036593.ply,3.6005876944953323,1036593
3744264,254429426,153511695,T146-1040115.ply,3.5998557851776005,1040115
3758824,296660679,156429918,T147-1044570.ply,3.5984414639516737,1044570
3776368,226855627,41638632,T148-1049775.ply,3.597311804910576,1049775
3797776,218993801,42612645,T149-1055448.ply,3.5982596963564286,1055448
3820696,158544770,41524673,T150-1061754.ply,3.5984757297829817,1061754
3855176,215744629,44472755,T151-1071315.ply,3.598545712512193,1071315
3895456,135811977,42956203,T152-1082628.ply,3.598148209726702,1082628
3926800,138666430,43633047,T153-1093350.ply,3.5915306169113275,1093350
3953056,164752375,130667260,T154-1101384.ply,3.589171442476012,1101384
3971112,182829216,43461844,T155-1107093.ply,3.586972368175031,1107093
3989280,157546563,43940686,T156-1112832.ply,3.584799861973775,1112832
4009384,223473233,153242759,T157-1118841.ply,3.5835154414255466,1118841
4046248,246875119,44385156,T158-1129029.ply,3.583829999052283,1129029
4071776,167166601,43706965,T159-1137168.ply,3.5806283680159834,1137168
4098480,144186665,152371534,T160-1144509.ply,3.5809941206229046,1144509
4126840,228330495,66235506,T161-1152753.ply,3.579986345730612,1152753
