time_dec_ns,num_points,enc_file_size_bits,bpp,time_enc_ns,file
134086424,1051344,13659496,12.99241352021793,193073106,T115-1051344.ply
135278328,1064781,13829768,12.98836850018924,197336749,T116-1064781.ply
135273726,1073724,13942680,12.985348190037664,198032093,T117-1073724.ply
137404235,1081455,14039448,12.981999251009057,196818660,T118-1081455.ply
136235051,1087956,14120800,12.979201364761074,199667013,T119-1087956.ply
136288401,1097184,14236096,12.975121766267097,202505224,T120-1097184.ply
137426459,1103817,14320152,12.973302639839757,204580352,T121-1103817.ply
138044503,1108713,14381448,12.971299154966163,205331884,T122-1108713.ply
139954061,1112754,14432288,12.969881932574495,206176464,T123-1112754.ply
137762600,1117254,14487552,12.967106853052215,204025400,T124-1117254.ply
137249817,1123170,14561080,12.964270769340349,205202460,T125-1123170.ply
139911350,1133790,14675304,12.943582144841637,207906801,T126-1133790.ply
141607543,1143975,14801608,12.938751283900435,210511723,T127-1143975.ply
140946108,1153476,14921664,12.93625875180758,213621531,T128-1153476.ply
144464520,1157826,14974504,12.933293949177164,214008435,T129-1157826.ply
143315818,1161549,15021120,12.9319727364063,216600544,T130-1161549.ply
