file,num_points,time_enc_ns,time_dec_ns,enc_file_size_bits,bpp
T136-982014.ply,982014,125069014,37717924,3552376,3.6174392625767045
T137-988440.ply,988440,223772617,146523812,3577024,3.6188579984622233
T138-995679.ply,995679,339723921,161552339,3600704,3.616330162632736
T139-1001412.ply,1001412,209726942,140175257,3621472,3.6163656916433995
T140-1005978.ply,1005978,247794720,142145456,3634360,3.612762903363692
T141-1012098.ply,1012098,202612495,38545725,3654432,3.6107491567022167
T142-1019193.ply,1019193,271630314,170436149,3679680,3.610385864110134
T143-1026543.ply,1026543,232265579,163756408,3698080,3.6024599066965535
T144-1032018.ply,1032018,265630496,162514502,3716768,3.601456563742105
T145-1036593.ply,1036593,276434437,185412239,3732344,3.6005876944953323
T146-1040115.ply,1040115,247490871,41949091,3744264,3.5998557851776005
T147-1044570.ply,1044570,214519316,154860551,3758824,3.5984414639516737
T148-1049775.ply,1049775,252461451,157103914,3776368,3.597311804910576
T149-1055448.ply,1055448,153223805,149661627,3797776,3.5982596963564286
T150-1061754.ply,1061754,164732916,41708568,3820696,3.5984757297829817
T151-1071315.ply,1071315,257692888,41281931,3855176,3.598545712512193
T152-1082628.ply,1082628,133357031,143860714,3895456,3.598148209726702
T153-1093350.ply,1093350,260739422,50907085,3926800,3.5915306169113275
T154-1101384.ply,1101384,135437252,42944537,3953056,3.589171442476012
T155-1107093.ply,1107093,228456399,42803225,3971112,3.586972368175031
T156-1112832.ply,1112832,231936350,95610832,3989280,3.584799861973775
T157-1118841.ply,1118841,179872724,43526950,4009384,3.5835154414255466
T158-1129029.ply,1129029,251920668,164334192,4046248,3.583829999052283
T159-1137168.ply,1137168,275859025,163472597,4071776,3.5806283680159834
T160-1144509.ply,1144509,226114815,44443087,4098480,3.5809941206229046
T161-1152753.ply,1152753,263176545,44339551,4126840,3.579986345730612
T162-1158861.ply,1158861,245918113,160462086,4146960,3.5784792136416708
T163-1166568.ply,1166568,169166659,158472639,4174712,3.5786272210449797
T164-1171344.ply,1171344,176142465,169282197,4191568,3.5784261497903262
T165-1175730.ply,1175730,321403573,165470640,4206640,3.5778962857118555
T166-1181571.ply,1181571,277081847,80320565,4228448,3.57866603022586
T167-1187784.ply,1187784,225964121,52501573,4249472,3.5776471142901403
T168-1195149.ply,1195149,211784578,191100862,4273400,3.575621115024152
T169-1204401.ply,1204401,323890656,48445810,4302408,3.572238814149108
T170-1211295.ply,1211295,191488320,48222278,4326776,3.572024981528034
T171-1216374.ply,1216374,170069110,157622266,4343080,3.5705136742482164
T172-1222080.ply,1222080,321921293,48427161,4363000,3.5701427075150565
T173-1231044.ply,1231044,273427694,183169676,4393768,3.5691396895643046
T174-1244934.ply,1244934,284633852,52072929,4442336,3.56833052997187
T175-1254897.ply,1254897,157900893,49345192,4477136,3.5677318536899842
T176-1261704.ply,1261704,182066918,197749756,4498376,3.565318014367871
T177-1249776.ply,1249776,284552996,50627561,4456512,3.5658486000691325
T178-1256208.ply,1256208,277217714,159112984,4473544,3.5611491090647407
T179-1261797.ply,1261797,281487219,49163193,4492664,3.560528357572573
T180-1265592.ply,1265592,152659914,164655645,4502904,3.5579428441393435
T181-1270899.ply,1270899,277913431,158908823,4519488,3.5561346731722976
T182-1273821.ply,1273821,289621959,49937542,4528232,3.5548416928281132
T183-1275612.ply,1275612,157022676,173023781,4533648,3.5540963866755724
T184-1280682.ply,1280682,278171869,180112188,4552656,3.5548684216690796
T185-1286973.ply,1286973,301056595,171106097,4576064,3.555679878288045
T186-1292199.ply,1292199,202375711,178311289,4595072,3.556009561994708
T187-1299885.ply,1299885,221538448,50810149,4624360,3.5575147032237466
T188-1305225.ply,1305225,203588115,183334846,4640944,3.5556658813614512
T189-1308222.ply,1308222,205898298,51655036,4650352,3.554711662087933
T190-1312620.ply,1312620,167254144,53596501,4664776,3.5537901296643355
T191-1318851.ply,1318851,263304873,172401567,4685056,3.552377031218841
T192-1323738.ply,1323738,198961376,52272267,4707200,3.555990686978843
T193-1329471.ply,1329471,178146822,162967856,4726008,3.554803376681402
T194-1335522.ply,1335522,410173040,53035774,4745784,3.553504921671077
T195-1343466.ply,1343466,161879554,54638072,4772280,3.552214942544136
T196-1365642.ply,1365642,167277510,53998922,4856304,3.5560593479110922
T197-1382424.ply,1382424,169297757,165491795,4918616,3.5579648501472776
T198-1392855.ply,1392855,214177357,174725215,4949544,3.553524236191133
T199-1402758.ply,1402758,185748261,54638858,4982528,3.551951227510376
T200-1413519.ply,1413519,281687512,174082352,5020192,3.5515560809582327
T201-1425195.ply,1425195,184686861,56204255,5061184,3.551222113465175
T202-1439052.ply,1439052,264544722,55199029,5108120,3.549642403471174
T203-1447197.ply,1447197,298186916,173116799,5133960,3.5475197917076944
T204-1460361.ply,1460361,306349887,174850246,5177760,3.5455342891244013
T205-1471077.ply,1471077,351324541,56764839,5212384,3.543243487594463
T206-1476837.ply,1476837,190600141,57879608,5230576,3.5417422504988703
T207-1484307.ply,1484307,210257678,58571712,5255848,3.540944023035666
T208-1498395.ply,1498395,179713202,58610374,5304936,3.540412241097975
T209-1506834.ply,1506834,259019699,185701793,5333096,3.5392724082413856
T210-1517772.ply,1517772,343738970,177007211,5372280,3.539583020374602
T211-1527693.ply,1527693,240285112,195275402,5406384,3.5389204506402794
T212-1536948.ply,1536948,275782842,60937493,5436664,3.5373116071591233
T213-1550346.ply,1550346,192275545,59852622,5476416,3.5323830938384075
T214-1565562.ply,1565562,189180711,60283474,5530584,3.532650894694685
T215-1575432.ply,1575432,213803768,59928559,5560384,3.5294344662289454
T216-1585743.ply,1585743,522503340,187018477,5595264,3.5284809707499893
T217-1596336.ply,1596336,300354293,62086659,5577152,3.4937206202203046
T218-1604169.ply,1604169,202358814,189607687,5605352,3.494240320066028
T219-1612041.ply,1612041,321992799,167605015,5629928,3.492422339134054
T220-1618215.ply,1618215,225944275,190869620,5652528,3.4930636534700272
T221-1624875.ply,1624875,312864443,182091266,5674384,3.4921972459419957
T222-1630674.ply,1630674,255805773,66141901,5697600,3.4940153580666644
T223-1638876.ply,1638876,325208757,63864063,5702384,3.4794481095580143
T224-1646832.ply,1646832,197296361,190625069,5722496,3.4748511080668822
T225-1655745.ply,1655745,222166627,180065018,5719104,3.454097098285062
T226-1668279.ply,1668279,337575267,64695898,5765824,3.4561509196003786
T227-1678155.ply,1678155,319522561,67049193,5805136,3.459237078815723
T228-1684626.ply,1684626,206359439,64310360,5829864,3.4606280563163576
T229-1690575.ply,1690575,217814465,194442044,5848200,3.459296393238987
T230-1703394.ply,1703394,338374100,184239564,5888296,3.456802125638578
T231-1715166.ply,1715166,349851513,190961703,5929144,3.456892219178785
T232-1724808.ply,1724808,266557434,201048922,5958088,3.454348541982644
T233-1732812.ply,1732812,245087258,66633054,5985536,3.454232773087906
T234-1744479.ply,1744479,340751742,184382534,6034424,3.459155426921161
T235-1759239.ply,1759239,346514465,184939933,6087456,3.4602779952013343
T236-1773657.ply,1773657,348354368,233577919,6139968,3.461756134359687
T237-1788840.ply,1788840,358962724,217072864,6198864,3.4652981820621185
T238-1801098.ply,1801098,340983240,71547544,6237400,3.4631097252897955
T239-1816398.ply,1816398,243097465,68670204,6302336,3.4696889117913585
T240-1827090.ply,1827090,253840280,185937692,6306144,3.4514687289624484
T241-1833573.ply,1833573,259060749,78903224,6325968,3.450076980845595
T242-1836837.ply,1836837,260848769,208333725,6334056,3.44834952693135
T243-1842603.ply,1842603,365447504,69663343,6349024,3.445682005293598
T244-1856154.ply,1856154,236918660,183851141,6343728,3.4176733180544288
T245-1872897.ply,1872897,359155399,197709849,6401968,3.41821680530216
T246-1888218.ply,1888218,255975267,203665857,6451792,3.416868179415724
T247-1900464.ply,1900464,363764466,229992161,6490816,3.415384874430665
T248-1909560.ply,1909560,277894181,207214330,6522120,3.4155093319927103
T249-1917123.ply,1917123,403267061,199882494,6544008,3.413452344998208
T250-1923288.ply,1923288,271146941,72793710,6560464,3.4110668812991087
T251-1928544.ply,1928544,333065093,194137040,6577328,3.4105148754708217
T252-1932897.ply,1932897,280482608,199726019,6597872,3.4134627970347102
T253-1940001.ply,1940001,321728646,182956315,6616936,3.4107899944381472
T254-1948452.ply,1948452,431579063,72882966,6639912,3.4077883365871986
T255-1955508.ply,1955508,357001332,75591891,6659712,3.4056173638768032
T256-1959858.ply,1959858,354079720,194261503,6671640,3.404144585985311
T257-1964778.ply,1964778,369631682,74503764,6687064,3.4034705193156682
T258-1968468.ply,1968468,384231661,75143546,6698344,3.402820873897874
T259-1969380.ply,1969380,237942958,73847266,6701320,3.402756197381917
T260-1969797.ply,1969797,373103704,198488188,6702456,3.4026125534763225
