num_points,enc_file_size_bits,time_dec_ns,time_enc_ns,file,bpp
1703394,5585304,1293093631,3657729751,T230-1703394.ply,3.2789266605377265
1715166,5621368,1311113228,3521445608,T231-1715166.ply,3.2774483635986256
1724808,5649376,1315274733,3511750493,T232-1724808.ply,3.275365142091178
1732812,5675136,1305180481,3517413876,T233-1732812.ply,3.2751019729780264
1744479,5714456,1316229775,3533771135,T234-1744479.ply,3.2757379137266773
1759239,5764000,1303398468,3525570745,T235-1759239.ply,3.2764166778931116
1773657,5811856,1338173151,3601726110,T236-1773657.ply,3.2767643349305984
1788840,5862360,1366989549,3636740093,T237-1788840.ply,3.2771852149996645
1801098,5902144,1396139753,3780720001,T238-1801098.ply,3.27696993722718
1816398,5953920,1355759556,3686415264,T239-1816398.ply,3.2778719201408504
1827090,5987128,1405081815,3683862266,T240-1827090.ply,3.276865397982584
1833573,6005272,1385464731,3779630538,T241-1833573.ply,3.2751747544275576
1836837,6008952,1394269275,3738110753,T242-1836837.ply,3.271358318674983
1842603,6027240,1408827912,3749803124,T243-1842603.ply,3.2710464489637756
1856154,6072352,1376908533,3760774642,T244-1856154.ply,3.271469931912977
1872897,6128224,1418806126,3765969325,T245-1872897.ply,3.2720560714230413
1888218,6176696,1491149803,3836389444,T246-1888218.ply,3.2711773746463595
1900464,6212760,1442641221,3825462290,T247-1900464.ply,3.269075341600788
1909560,6240560,1424093834,3821927500,T248-1909560.ply,3.2680617524455897
1917123,6262328,1442068707,3876045182,T249-1917123.ply,3.2665238484958974
1923288,6280048,1459053935,3918220216,T250-1923288.ply,3.2652665643418977
1928544,6294832,1493762223,4058242982,T251-1928544.ply,3.264033384771102
1932897,6307848,1484757905,3970350712,T252-1932897.ply,3.2634165193489357
1940001,6329672,1484249652,4035913611,T253-1940001.ply,3.262715843960905
1948452,6354464,1484217802,4028731310,T254-1948452.ply,3.261288448470889
1955508,6374296,1462620404,3962223478,T255-1955508.ply,3.2596624508823284
1959858,6386768,1496520738,3994425837,T256-1959858.ply,3.2587911981378244
1964778,6401112,1440098602,4121572382,T257-1964778.ply,3.257931430421147
1968468,6412664,1465022490,3890067813,T258-1968468.ply,3.2576927844394725
1969380,6415568,1489923584,3983472362,T259-1969380.ply,3.257658755547431
1969797,6416736,1492820257,4109522882,T260-1969797.ply,3.2575620736553055
