Filename,Symmetric Similarity,Cloud Size
hallway-T98,0.995181723602106,548904
hallway-T99,0.995183321993219,553926
hallway-T100,0.995167943486856,559836
hallway-T101,0.995155679659447,566262
hallway-T102,0.995156306926908,574992
hallway-T103,0.99515975586721,583065
hallway-T104,0.995164496367997,589404
hallway-T105,0.995155846166732,596406
hallway-T106,0.995143146873243,601398
hallway-T107,0.99514336947167,608688
hallway-T108,0.995153917057024,615276
hallway-T109,0.995151548555225,618990
hallway-T110,0.995143951884006,621498
hallway-T111,0.995141725226249,626598
hallway-T112,0.995137065074087,631677
hallway-T113,0.995125639544626,635799
hallway-T114,0.995120064798218,639555
hallway-T115,0.995122756396856,647610
hallway-T116,0.995121124841005,653757
hallway-T117,0.995120444763195,657351
hallway-T118,0.995121362169761,664647
hallway-T119,0.995117837566587,667470
hallway-T120,0.995118282421649,672087
hallway-T121,0.995115100801799,680001
hallway-T122,0.995111796110124,682680
hallway-T123,0.995103161056936,685710
hallway-T124,0.995102272209968,693474
hallway-T125,0.995098408294548,699822
hallway-T126,0.995108820065521,704835
hallway-T127,0.995111557918496,708726
hallway-T128,0.995112031563092,712161
hallway-T129,0.995107680373523,717447
hallway-T130,0.995106635767462,724965
hallway-T131,0.995111156405441,732873
hallway-T132,0.995105404813805,738207
hallway-T133,0.995096453599245,741657
hallway-T134,0.995097581532922,749604
hallway-T135,0.995105020478392,757833
hallway-T136,0.995106938417592,762492
hallway-T137,0.995103796945549,767739
hallway-T138,0.995101790844811,773601
hallway-T139,0.995109862887787,779703
hallway-T140,0.995115064974183,785886
hallway-T141,0.995114950563503,789534
hallway-T142,0.995118675549277,795027
hallway-T143,0.995112399395487,798534
hallway-T144,0.995118051090969,805695
hallway-T145,0.995127024431157,813138
hallway-T146,0.99512238897597,815556
hallway-T147,0.995123001035445,821283
hallway-T148,0.995116353939222,824988
hallway-T149,0.99511692599482,830592
hallway-T150,0.995122493829351,837690
hallway-T151,0.995125357894741,841986
hallway-T152,0.995124874089435,847089
hallway-T153,0.995119107846063,852129
hallway-T154,0.995116638653468,858699
hallway-T155,0.995111238502567,865581
hallway-T156,0.995107979992014,875055
hallway-T157,0.995095930435462,883110
hallway-T158,0.995097397703481,890790
hallway-T159,0.99508318256925,894879
hallway-T160,0.995033136295223,888336
hallway-T161,0.995024840307701,889185
hallway-T162,0.995013916965627,890604
hallway-T163,0.995013923080965,892380
hallway-T164,0.995009311675751,892788
hallway-T165,0.995009583786173,896679
hallway-T166,0.995022123494811,904530
hallway-T167,0.995025505167124,908724
hallway-T168,0.995027162389185,911340
